,is_Action,is_Adventure,is_Fantasy,is_Science Fiction,is_Crime,is_Drama,is_Thriller,is_Animation,is_Family,is_Western,is_Comedy,is_Romance,is_Horror,is_Mystery,is_History,is_War,is_Music,is_Documentary,is_Foreign,revenue
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.87965087
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.61
2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.80674609
3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10.84939099
4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.841391
5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.90871626
6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5.91794936
7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.05403694
8,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.33959197
9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73260194
10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91081192
11,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.86090727
12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65659812
13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8928991
14,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62845518
15,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.19651413
16,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1955791
17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45713802
18,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.24026776
19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.56019788
20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52215857
21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1066954
22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.584
23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72234864
24,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
25,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,18.45034188
26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53304495
27,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03025485
28,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.1352881
29,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.08561013
30,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83766341
31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15439994
